Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x5.7,1,100uF/35V,
"C10, C13, C14, C16, C21, C22, C24, C25, C26, C28, C5, C6, C8",0603,13,100nF,
"C11, C20, C23, C27",0805,4,10uF/10V,
C12,1206,1,1nF/2KV,
C15,0805,1,1uF/50V,
"C17, C18, C19",0603,3,33nF,
C2,0603,1,1uF,
C3,0603,1,3.3nF,
"C4, C7",CP_Elec_6.3x5.7,2,220uF/10V,
C9,0805,1,22uF/6.3V,
"D1, D2, D3",D_SMA,3,SS36,
D4,0402,1,LED,
D6,D_SMA,1,SS14,
D7,SOD-123FL_L2.8-W1.8-LS3.7-RD,1,A7_C2891324,C2891324
F1,FUSE-TH_L8.5-W4.0-P5.08-D0.6,1,2010T3.15A250V,C354904
J1,TerminalBlock_Phoenix_MKDS-3-8-5.08_1x08_P5.08mm_Horizontal,1,Screw_Terminal_01x08,
J2,AUDIO-TH_PJ307C,1,PJ-307C,C16684
"J5, J6","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",2,IRD,
J8,PinSocket_1x03_P2.54mm_Vertical,1,VS1838B,
J9,RJ45_Hanrun_HR911105A_Horizontal,1,RJ45_Hanrun_HR911105A_Horizontal,
K1,RELAY-TH_HF2150-1A,1,HF2150-1A-5DE,C87365
L2,XFMR-TH_ZMCT118F,1,ZMCT118F,C173174
L3,XFMR-TH_ZMPT107-1,1,ZMPT107-1,C125191
L4,1008,1,22R/500MA,
PS1,Converter_ACDC_Hi-Link_HLK-5Mxx,1,HLK-5M03,
"Q5, Q6, Q7, Q8",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,4,SS8050_C181160,C181160
R1,RES-TH_L8.5-W5.5-P5.00-D0.6-S5.50,1,MF72-10D-7,C9176
R10,0805,1,100K,
R11,0603,1,4K7,
R12,0603,1,2K,
"R13, R19, R20, R25, R33, R35, R42, R49, R5, R6",0805,10,10K,
R14,RES-TH_L12.5-W4.8-P7.50-D1.2-S3.40,1,471KD10,C78346
"R15, R16",0603,2,10R,
"R17, R18",0805,2,12K,
R2,0603,1,1K/1%,
"R21, R22",0603,2,100R,
R23,0603,1,12R,
"R24, R29, R30, R32",0603,4,1K,
R26,0603,1,47K,
"R27, R28",0603,2,5.1R/0.5%,
R3,0603,1,3K/1%,
R31,0603,1,28.7R/0.5%,
R34,0603,1,NC/0R,
"R36, R37, R38, R39, R40",0805,5,22K/1%,
R4,0603,1,R,
R41,0805,1,12.1/1%,
"R43, R44",0603,2,510R,
"R45, R46, R47, R48",0603,4,49R9,
"R7, R8",0603,2,3K,
R9,0805,1,4K7/1206,
"SW1, SW2",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-ADJ,
U10,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,LAN8720A,
U11,CONN-TH_4P-P8.50_MX8500-8.5-04P-GN01-CU-S-A,1,MX8500-8.5-04P-BK01-CU-S-A,C5188508
U12,IND-SMD_L7.9-W7.2,1,FAUL0754-680MT,C5298270
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
U4,OPTO-SMD-4_L4.4-W4.1-P2.54-LS7.0-TL,1,EL357N(B)(TA)-G_C42381015,C42381015
"U5, U6",CONN-TH_T44001,2,T44001,C481447
U7,RES-TH_L11.0-W5.5-P7.50-D0.8-S4.70,1,NTC5D-9,C702818
U8,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U9,SSOP-10_L4.9-W3.9-P1.00-LS6.0-BL,1,BL0942,C2837510
USB1,USB-C-SMD_TYPEC-303-ACP16,1,TYPEC-303-ACP16,C720628
