Designator,Mid X,Mid Y,Rotation,Layer
C1,62.6364,-158.148,90.0,top
C10,83.3,-161.08,90.0,top
C11,85.1244,-160.92,90.0,top
C12,77.6224,-158.816,90.0,top
C13,82.042,-120.1798,90.0,top
C14,132.7,-145.63,0.0,top
C15,142.184,-147.924,0.0,top
C16,144.06,-142.75,90.0,top
C17,91.3,-124.46,180.0,top
C18,94.755,-124.46,180.0,top
C19,69.7992,-133.2484,180.0,top
C2,60.7625,-152.375,180.0,top
C20,75.45,-128.1,0.0,top
C21,75.24,-129.92,0.0,top
C22,125.435,-111.14,180.0,top
C23,125.26,-109.17,180.0,top
C24,145.665,-104.2,180.0,top
C25,142.617,-104.2,0.0,top
C26,142.617,-110.042,0.0,top
C27,145.731,-102.168,180.0,top
C28,142.602,-108.206,0.0,top
C3,66.4,-146.86,0.0,top
C4,91.4908,-148.0744,270.0,top
C5,69.8122,-143.256,180.0,top
C6,96.1644,-150.114,90.0,top
C7,67.6072,-137.7188,0.0,top
C8,149.83,-113.01,0.0,top
C9,149.74,-110.88,0.0,top
D1,39.62,-157.59,270.0,top
D2,44.0904,-157.6408,270.0,top
D3,71.882,-159.6644,0.0,top
D4,120.7024,-75.8368,180.0,top
D6,75.3552,-120.2944,90.0,top
D7,84.2516,-155.0924,0.0,top
F1,39.1668,-95.504,90.0,top
J1,77.62,-171.27,0.0,top
J2,110.85,-167.2,180.0,top
J5,116.84,-138.184,0.0,top
J6,99.56,-137.18,0.0,top
J8,149.2,-141.06,0.0,top
J9,132.6692,-83.6256,180.0,top
K1,56.5404,-109.8618,0.0,top
L2,92.036,-107.662,90.0,top
L3,50.6256,-131.1724,0.0,top
L4,146.486,-106.486,180.0,top
PS1,24.6352,-128.6616,270.0,top
Q5,138.39,-153.45,0.0,top
Q6,136.66,-147.92,0.0,top
Q7,118.785,-146.725,180.0,top
Q8,76.825,-114.55,180.0,top
R1,53.3292,-158.3876,180.0,top
R10,83.7184,-157.0736,180.0,top
R11,97.9424,-156.3624,270.0,top
R12,78.8924,-117.348,180.0,top
R13,79.0448,-119.2276,180.0,top
R14,23.875,-104.85,0.0,top
R15,137.79,-163.68,90.0,top
R16,136.03,-163.7,90.0,top
R17,138.0725,-156.21,0.0,top
R18,135.41,-151.51,270.0,top
R19,142.16,-150.21,180.0,top
R2,66.4464,-143.3068,180.0,top
R20,142.3905,-153.416,180.0,top
R21,129.74,-166.29,270.0,top
R22,129.74,-171.58,270.0,top
R23,113.54,-146.19,0.0,top
R24,121.92,-146.812,90.0,top
R25,120.904,-149.606,180.0,top
R26,143.96,-138.52,0.0,top
R27,91.1,-122.425,0.0,top
R28,94.805,-122.428,0.0,top
R29,91.249,-126.238,0.0,top
R3,66.4464,-145.1864,0.0,top
R30,94.742,-126.238,180.0,top
R31,66.875,-132.075,270.0,top
R32,69.7484,-131.2672,0.0,top
R33,85.344,-134.239,0.0,top
R34,85.217,-136.017,0.0,top
R35,85.1935,-137.922,0.0,top
R36,39.975,-104.35,270.0,top
R37,39.9796,-109.4232,270.0,top
R38,40.075,-114.575,90.0,top
R39,40.0812,-119.2803,90.0,top
R4,121.035,-77.31,180.0,top
R40,40.075,-123.55,270.0,top
R41,124.9699,-101.6,180.0,top
R42,125.222,-107.0356,180.0,top
R43,125.285,-103.69,180.0,top
R44,125.35,-105.21,180.0,top
R45,133.255,-94.92,0.0,top
R46,136.69,-93.63,180.0,top
R47,131.67,-93.37,180.0,top
R48,128.43,-93.44,180.0,top
R49,142.4395,-106.276,180.0,top
R5,127.56,-129.84,180.0,top
R6,125.1185,-116.586,180.0,top
R7,100.2792,-159.8676,90.0,top
R8,98.0948,-159.6644,90.0,top
R9,80.4164,-159.1056,90.0,top
SW1,124.15,-167.075,180.0,top
SW2,124.15,-172.325,180.0,top
U1,58.9788,-148.7932,90.0,top
U10,133.0,-107.5325,0.0,top
U11,58.85,-75.1,180.0,top
U12,72.58,-152.99,0.0,top
U2,83.1596,-147.8784,90.0,top
U3,142.26,-124.08,270.0,top
U4,91.692,-157.1244,0.0,top
U5,78.2,-97.3,0.0,top
U6,109.2325,-97.2,0.0,top
U7,30.2768,-96.6724,0.0,top
U8,129.097,-151.765,270.0,top
U9,77.343,-135.128,180.0,top
USB1,137.15,-169.95,0.0,top
